name,event_url,description,sponsor,sponsor_urls,maps_description,maps_query,maps_placeid,location_free,type,days,time,outside_of_madison
Madison Bikes Party at Brittingham Park,https://www.facebook.com/events/2219448488090499/,"Celebrate Madison Bike Week with Madison Bikes at Brittingham Park! There will be food carts, beer, and tables from several local non-profits. Free admission and family-friendly.",Madison Bikes,https://www.madisonbikes.org/,Brittingham Park Shelter,,ChIJ1dNPI0WtB4gR4G06h-BopfM,,event,7,05:00 PM - 08:00 PM,
"Pop-up Bike Maintenance / Evento de mantenimiento de bicicletas at Mendota Community School
",,"Spring is here. Time to get your bikes ready to ride, pump up your tires, lube your chain, make sure your brakes are working properly. Bring your bikes and bike mechanics will help you get your bike ready to ride for free.
La primavera está aquí. Es hora de preparar sus bicicletas para montar, bombear sus llantas, lubricar su cadena, asegurarse de que sus frenos funcionan correctamente. Traiga sus bicicletas y mecánicos le ayudarán a preparar su bicicleta de forma gratuita.","Wheels for Winners,Mendota Community School","http://wheelsforwinners.org/, https://mendota.madison.k12.wi.us/",4002 School Road,,,,station_tuneups,4,05:30 PM - 07:00 PM,
Pop-up Bike Maintenance / Evento de mantenimiento de bicicletas at Latino Workforce Academy,,"Spring is here. Time to get your bikes ready to ride, pump up your tires, lube your chain, make sure your brakes are working properly. Bring your bikes and bike mechanics will help you get your bike ready to ride for free.
La primavera está aquí. Es hora de preparar sus bicicletas para montar, bombear sus llantas, lubricar su cadena, asegurarse de que sus frenos funcionan correctamente. Traiga sus bicicletas y mecánicos le ayudarán a preparar su bicicleta de forma gratuita.","Wheels for Winners,Latino Academy of Workforce Development","http://wheelsforwinners.org/, http://www.latinoacademywi.org/",1917 Lake Point Dr,,,,station_tuneups,5,05:00 PM - 06:30 PM,
"Pop-up Bike Maintenance / Evento de mantenimiento de bicicletas at Centro Hispano
",,"Spring is here. Time to get your bikes ready to ride, pump up your tires, lube your chain, make sure your brakes are working properly. Bring your bikes and bike mechanics will help you get your bike ready to ride for free.
La primavera está aquí. Es hora de preparar sus bicicletas para montar, bombear sus llantas, lubricar su cadena, asegurarse de que sus frenos funcionan correctamente. Traiga sus bicicletas y mecánicos le ayudarán a preparar su bicicleta de forma gratuita.","Wheels for Winners,Centro Hispano","http://wheelsforwinners.org/, http://www.micentro.org/",810 Badger Road,,,,station_tuneups,5,05:00 PM - 07:00 PM,
Ride the Commute Stations with Spoke Haven,https://www.facebook.com/events/1481648968649392/,The ladies of Spoke Haven have breakfast planned for your Bike Week Wednesday. We will ride a casual Lake Loop stopping at commuter stations along the way. Meet at Olin Park south parking lot at 7am sharp for a morning Lake Loop followed by yummy Bratcakes! Be there or be hungry!,Spoke Haven,https://www.facebook.com/spokehaven/,"Olin Park parking lot, 1156 Olin-Turville Ct",,,,group_ride,5,07:00 AM - 09:00 AM,
Bike Week Ladies Night by Spoke Haven,https://www.facebook.com/events/2047114092261360/,"Meet and greet from 5-6pm. Two ride options at 6pm (a longer road ride and shorter, mostly bike path ride) with happy hour afterwards. Helmets required. Please bring water and lights.",Spoke Haven,https://www.facebook.com/spokehaven/,"Olbrich Park Biergarten, 3527 Atwood Ave",,,,group_ride,4,05:00 PM - 08:00 PM,
Bombay Bicycle Club: Martinsville Meander Ride,,"Join Bombay Bicycle Club for a 33 or 62 mile ride. A Bombay classic, heads north of our usual routes west, refresh in Mazomanie; return via Vermont Church and Braun; Alpe d’Huez option over Reeve, Fesenfeld and Sutcliffe. Contact: Larry Green (lrgreen@wisc.edu, 608-798-3751)",Bombay Bicycle Club,http://bombaybicycle.org/,"Lakeview Park, Middleton",,ChIJt-NycUupB4gRoXKvQGaUmC4,,group_ride,2,09:00 AM - 01:00 PM,TRUE
Bombay Bicycle Club: Waunakee Wander Ride,https://www.facebook.com/events/651261755300119/,"Join Bombay Bicycle Club for a social group ride of about 25 miles.  Contact: Mark Maffitt (Mark.Maffitt@gmail.com, 608-513-0094)",Bombay Bicycle Club,http://bombaybicycle.org/,"Prairie Elementary School, Waunakee",,,,group_ride,6,05:45 PM - 08:00 PM,TRUE
Bombay Bicycle Club: Southwest Delite Women's Ride,https://www.facebook.com/events/374218206633790/,"This is a social, “No Drop” ride of 30 miles! Roll out of the park at a social pace toward the Paoli Square, post ride gather at Tuvalu Coffeehouse or Hop Haus Brewing Co. across the street. Contact: Karla King(kking@bombaybicycle.org, 608-235-8660)",Bombay Bicycle Club,http://bombaybicycle.org/,"Hometown Junction Park, Verona",,,,group_ride,8,10:00 AM - 01:00 PM,TRUE
Bike Station with Short Stack Eatery,https://www.facebook.com/events/545077909359569/,Volunteer bike mechanics from Dream Bikes/Wheels for Winners will on hand to offer free safety checks.,Short Stack Eatery,https://shortstackeats.com/,Short Stack Eatery,,,,station_tuneups,7,07:00 AM - 09:00 AM,
Eken Park Neighborhood Association Bike Station,https://www.facebook.com/events/653890375033673/,Food and coffee for morning bike commuters!,Eken Park Neighborhood Association,http://www.ekenpark.org/,Starkweather Creek Path @ Commercial Ave,,,,station_food,5,06:30 AM - 09:00 AM,
Whitehorse Bike to School Day,,"Bagels and prizes for kids who bike to school, free bike safety checks after school","MSCR,Slow Roll Cycles","http://www.mscr.org/,https://www.slowrollcycles.com/",Whitehorse Middle School,,,,"station_food,station_tuneups",5,07:15 AM - 04:00 PM,
Lemonade with the Madison Public Library with giveaways!,,"Celebrate Madison Bike Week on June 4th from 4-6PM with the Madison Public Library! Stop on the Capital City Bike Path at Dempsey Road for free lemonade, MPL water bottles and stickers. Also, get a sneak peek at our new bike racks for the Pinney Library Fundraiser. See you there!","Madison Public Library, Madison Public Library Foundation","https://www.madisonpubliclibrary.org/,https://mplfoundation.org/",Capital City Trail @ Dempsey Road,,,,station_food,4,04:00 PM - 06:00 PM,
On Path Bike Checkups & Encouragement by Budget Bicycle Center and Indie Coffee,,"Have your bike checked and enjoy coffee by Indie Coffee.
Here all week, M-F!","Budget Bicycle Center,Indie Coffee","https://www.budgetbicyclectr.com/,https://indiecoffee.net/","Southwest Path, Spring St @ Charter St","43°04'10.2""N 89°24'21.6""W",,,"station_food,station_tuneups","3,4,5,6,7",07:00 AM - 09:00 AM,
Girls Riding Together (GRiT) MTB Demo Day,https://www.eventbrite.com/e/girls-riding-together-grit-mtb-demo-day-tickets-57756803153?utm-medium=discovery&utm-campaign=social&utm-content=at,"The Madison West / Verona / Memorial / Blackhawk Composite Mountain Bike Team is sponsoring a girls-only day to try out mountain biking and ride with other girls at the amazing Blackhawk trails in Middleton. Free demo mountain bikes will be provided by local retailers if you do not have a trail-ready mountain bike you can bring with you. The event is open to girls entering 6th through 12th grade and their parents.
More info and registration is online.","Madison West, Madison Memorial, Verona and Blackhawk Composite MTB","https://madisonmtb.org/,https://madisonmtb.org/,https://madisonmtb.org/","Blackhawk Ski Club (East Chalet), 10118 Blackhawk Rd",,ChIJH57keMKlB4gRboUGykk-fS8,,event,1,10:00 AM - 03:00 PM,
Fire Station #9 - Hill Farms Neighborhood Bike Station,https://www.facebook.com/events/434129410704062/,"Enjoy free coffee from Cadence Cold Brew, ice cream from Sassy Cow Creamery, and other beverages + treats to wind down your commute.
We'll also have bike tuneups from Velofix Madison, so head on down after school or work and get those bikes checked out!
And... maybe even a fire station tour if they're not too busy fighting fires!
","University Hill Farms Neighborhood,Cadence Cold Brew,Velofix Madison,Sassy Cow Creamery","http://hillfarms.org/, https://www.cadencecoldbrew.com/, https://www.velofix.com/locations/madison/, https://sassycowcreamery.com/","Fire Station #9, Regent St @ Midvale Blvd","43°04'05.8""N 89°27'00.5""W",,,"station_food,station_tuneups",4,03:00 PM - 06:00 PM,
Spark N Spokes,,Join us for a a leisurely (14mph pace) ride that lasts right around an hour. Meander around the Monona Lake Loop with coffee afterwards. We leave from the Spark building Main St. entrance promptly at 6:30 am and will end there as well. The bike station will be open from 6:30 AM to 8:00 AM.,"DreamBank, Starting Block Madison","https://www.amfam.com/making-a-difference/dreambank,
https://www.startingblockmadison.org/","The Spark (Main Entrance), 821 E Washington Ave",,,,"group_ride, station_food",4,06:30 AM - 08:00 AM,
Bike Polo Newbie Night!,,"Free Brat to anyone who tries bike polo. So bring your helmet, and bike and come out and learn about our sport and give it a whack. We will have mallets to borrow and a few bikes might be available to try. The Madison Bike Polo court is located on top of the Water Utility Building at Reynolds Park. There are stairs on the Festival Foods Side of the park that lead up to the tennis & bike polo area. Learn more about the sport on our website!",Madison Bike Polo,https://www.madisonbikepolo.com/,Reynolds Field Park on top of Water Utility Building,"43°04'57.0""N 89°22'34.4""W",,,event,4,06:00 PM ,
National Trails Day and Free Fun Weekend,https://dnr.wi.gov/Calendar/Events/Parks/?caudience=free%20Fun%20Weekend,"To celebrate National Trails Day, no trail passes are required for riding our Wisconsin State Trails on June 1 and 2.",Wisconsin DNR,https://dnr.wi.gov/,,,,,event,"1,2",,
Willy Street St. Vinny's Bike Week Discount,,"For the *entire week*, $1 off each purchase at our Williamson Street location with bike helmet!",Willy Street St. Vinny's,https://svdpmadison.org/shop/williamson-street/,1309 Williamson St,,ChIJScQNlXdTBogR1i0qxeiZm5I,,discounts,0,,
Freewheel Breakfast Bike Station,https://www.facebook.com/events/367247053996598/,It's Bike Week! We're celebrating with our own breakfast and tune-up station. Come get some treats and coffee on the bike path on the corner of Wingra and South Park. We'll have a mechanic and a few tools to give some quick tune-ups too!,Freewheel Bikes,https://freewheelbikes.org/,Wingra Creek Path @ South Park St,"43°02'56.5""N 89°23'37.8""W",,,"station_food,station_tuneups","5,6,7",07:00 AM - 09:30 AM,
Tour de Sewer,https://www.facebook.com/events/334996867187503/,"Join Madison Metropolitan Sewerage District’s team of resource recovery experts for a “Tour de Sewer”: a bike tour of the local wastewater treatment plant. Meet at the bike repair station and drinking fountain kiosk at the intersection of the Capital City Trail and South Towne Drive, at one of the listed times – look for our pollution prevention specialists sporting reflective vests (their own version of a yellow jersey!). The guided tour will commence through the Nine Springs Wastewater Treatment Plant to show how innovative engineering takes water from flush to fresh in a matter of hours. The tour will be about a half hour and conclude with a French treat to celebrate Madison Bike Week.",Madison Metropolitan Sewerage District,https://www.madsewer.org/,Capital City Trail @ Nine Springs Wastewater Plant,"43°02'17.5""N 89°21'17.7""W",,,event,"6,7","12:00 PM, 4:30 PM",
Middleton Bike Station,,Breakfast goodies here all week with different sponsors each day!,City of Middleton Sustainability Committee,https://www.cityofmiddleton.us/,"Elmwood Ave, Old Middleton Rd and Stonefield Rd intersection, Middleton","43°05'16.8""N 89°29'15.6""W",,,station_food,3,06:30 AM - 08:30 AM,TRUE
Middleton Bike Station,,Breakfast goodies here all week with different sponsors each day!,Mead & Hunt,https://meadhunt.com/,"Elmwood Ave, Old Middleton Rd and Stonefield Rd intersection, Middleton","43°05'16.8""N 89°29'15.6""W",,,station_food,4,06:30 AM - 08:30 AM,TRUE
Middleton Bike Station,,Breakfast goodies here all week with different sponsors each day!,HGA,https://hga.com/,"Elmwood Ave, Old Middleton Rd and Stonefield Rd intersection, Middleton","43°05'16.8""N 89°29'15.6""W",,,station_food,5,07:00 AM - 08:30 AM,TRUE
Middleton Bike Station,,Breakfast goodies here all week with different sponsors each day! Bike checks by Wheel & Sprocket on Thursday and Friday!,"Wheel & Sprocket, Michelangelo's Coffee House","https://www.wheelandsprocket.com/about/middleton-pg338.htm, http://www.michelangeloscoffeehouse.com/","Elmwood Ave, Old Middleton Rd and Stonefield Rd intersection, Middleton","43°05'16.8""N 89°29'15.6""W",,,"station_food,station_tuneups",6,06:30 AM - 08:30 AM,TRUE
Middleton Bike Station,,Breakfast goodies here all week with different sponsors each day! Bike checks by Wheel & Sprocket on Thursday and Friday!,"Middleton Pedestrian/Bicycle/Transit Committee, Wheel & Sprocket, Michelangelo's Coffee House","https://www.cityofmiddleton.us/, https://www.wheelandsprocket.com/about/middleton-pg338.htm, http://www.michelangeloscoffeehouse.com/","Elmwood Ave, Old Middleton Rd and Stonefield Rd intersection, Middleton","43°05'16.8""N 89°29'15.6""W",,,station_food,7,06:30 AM - 08:30 AM,TRUE
Middleton Celebrates National Trails Day,,"Guided walk/ride to learn about flood impacts, recovery efforts, and planned improvements",Middleton Public Lands Dept. & Friends of Pheasant Branch Conservancy,"https://www.cityofmiddleton.us/,https://pheasantbranch.org/","Pheasant Branch Trail @ Parmenter St, Middleton","43°06'09.7""N 89°30'41.0""W",,,group_ride,1,09:00 AM - 11:00 AM,TRUE
Funk Factory Geuzeria,https://www.facebook.com/events/298317407776762/,"Hop on your bike and ride on down for Madison Bike Week!  We are conveniently located just blocks from the Wingra Creek bike path and only 1 mile from Olin Park.
$1 off all large pours of Funk Factory beers if you come here on a bicycle during bike week!",Funk Factory Geuzeria,http://www.funkfactorygeuzeria.com/,1602 Gilson St,,ChIJ572GBdFSBogRlc_1GfMzPSs,,discounts,0,,
Funk Factory Geuzeria,https://www.facebook.com/events/298317407776762/,"Hop on your bike and ride on down for Madison Bike Week!  We are conveniently located just blocks from the Wingra Creek bike path and only 1 mile from Olin Park.
The fine folks from Revolution Cycles will be providing free bicycle tune-ups on our back patio! Enjoy $1 off large pours of Funk Factory beers if you arrive on a bike!","Funk Factory Geuzeria, Revolution Cycles","http://www.funkfactorygeuzeria.com/,https://www.revolutioncycles.net/",1602 Gilson St,,ChIJ572GBdFSBogRlc_1GfMzPSs,,"discounts,station_tuneups",8,1 pm - 5 pm,
Bike Week at Hive of Madison (M-F only),https://www.facebook.com/hiveofmadison/?eid=ARCKPPGVTM-ALux6pnVa3NyP6qffz34HgQ6DDRHHxmjBL6RSLIJqpSKmWtp-4dTZ4zr4fbEZ-lhkzhaO,"Monday, June 3 through Friday June 7, ride your bike to Hive (and bring your helmet in) to receive 15% off your full price purchase AND get a free Monroe Street shopping bag!",Hive of Madison,https://www.hiveofmadison.com/,1904 Monroe St,,,,discounts,,,
First Friday Bicycle Happy Hour at Hive,https://www.facebook.com/events/2245748058845012/,Neff Cycle Service will be on hand to provide free bike safety checks for those who ride to Hive!,"Hive of Madison, Neff Cycle Service","https://www.hiveofmadison.com/,https://www.neffcycleservice.com/",1904 Monroe St,,,,"discounts,station_tuneups,station_food",7,3pm-6pm,
Bike Week at the Latino Academy,,"Kick-off of Latino Academy Educational Bike Rides: Practicing English (An opportunity for English Learners to practice their English Skills) We are looking for volunteers who can come and speak English with Latino Academy's English Learners, and if you want to practice your Spanish skills this is also the ride for you.
Madison Bike Week 2019 is only first of two months of Wednesday rides at this location!",Latino Academy of Workforce Development,http://www.latinoacademywi.org/,1917 Lake Point Dr,,,,group_ride,5,6pm-8pm,
City of Madison Ride,https://www.facebook.com/events/333087340705349/,"To celebrate the start of Madison Bike Week 2019, ride with Mayor Satya Rhodes-Conway, Common Council members, and city staff. We'll have two starting locations:
* [Tenney Park at the Trek Bike Station](#trek-bike-station) (this is where the mayor will start) [2.1 mile route](https://goo.gl/maps/Ey8FEqvg8xTuHBcd8)\
* [Crazylegs Plaza at the HotelRED and Monroe Street Family Dental Bike Station](#bike-station-at-crazylegs-plaza-with-hotelred-and-monroe-street-family-dental) [2.2 mile route](https://goo.gl/maps/Pj3eGM2HzPW4mm1cA)
Meet at one of these spots starting at 7:15 am, mingle, enjoy coffee and treats. From there, we will roll out at around 7:45 am and converge at the City-County Building for a press conference at 8:30 am. ","Madison Bikes, City of Madison Traffic and Parking","https://www.madisonbikes.org/,https://www.cityofmadison.com/trafficengineering/",,,,"One of two locations, see description","group_ride,event",3,7:15am-9:00am,
Madison BCycle Free 30-Minute Rides,,Madison BCycle is happy to offer Free 30-Min rides June 1-8 during Madison Bike Week. Enter code 060119 at any kiosk or in-app check out. [Download our App](https://www.bcycle.com/app) to find a bike and station near you.,Madison BCycle,https://madison.bcycle.com/,,,,[45 BCycle Stations across Madison](https://madison.bcycle.com/station-map),discounts,0,,
